what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349351581656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349351586692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349351587181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349351587201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349351587965
error,log,,,"Invalid preference page path: Logging",1349351590441
error,log,,,"Core exception while retrieving the content description",1349351590448
error,log,,,"Core exception while retrieving the content description",1349351590449
error,log,,,"Core exception while retrieving the content description",1349351590450
error,log,,,"Core exception while retrieving the content description",1349351590451
error,log,,,"Core exception while retrieving the content description",1349351590453
error,log,,,"Core exception while retrieving the content description",1349351590454
error,log,,,"Core exception while retrieving the content description",1349351590455
error,log,,,"Core exception while retrieving the content description",1349351590456
error,log,,,"Core exception while retrieving the content description",1349351590475
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1349351590768
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1349351590839
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1349351591012
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1349351595631
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1349351595742
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349351597943
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1349351597943
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1349351599181
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1349351599193
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1349351599248
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1349351599252
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1349351599331
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1349351599344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1349351601333
